chr	start	end	gene	oocyte	sperm	two_cell	four_cell	blast
chr1_106934449_106957080	chr1	106934449	106957080	Serpinb12	0.664285714285714	0.948942042318307	0.584366062917064	0.557325943886387	0.262822912766754
chr1_106980984_107001195	chr1	106980984	107001195	Serpinb13	0.372549019607843	0.775629496402878	0.328299256505576	0.337662337662338	0.221976074435091
chr1_107045587_107052303	chr1	107045587	107052303	Serpinb3a	0.875862068965517	0.953208556149733	0.833122629582807	0.778115501519757	0.462829736211031
chr1_107078167_107083506	chr1	107078167	107083506	Serpinb3d	0.354430379746835	0.883480825958702	0.502304147465438	0.31057268722467	0.194267515923567
chr1_107153940_107278361	chr1	107153940	107278361	Serpinb3b	0.528401727861771	0.81204468188441	0.5	0.443906643681209	0.289744469216258
chr1_107271201_107278371	chr1	107271201	107278371	Serpinb3c	0.431235431235431	0.933274021352313	0.471627906976744	0.365151515151515	0.227586206896552
chr1_107361198_107380475	chr1	107361198	107380475	Serpinb11	0.387947269303202	0.936642027455121	0.391737545565006	0.350213745478461	0.183346364347146
chr1_107399655_107452689	chr1	107399655	107452689	Serpinb7	0.492769440654843	0.935846994535519	0.470832838303434	0.446442656570437	0.243149195302305
chr1_107511423_107535478	chr1	107511423	107535478	Serpinb2	0.88641975308642	0.954105414126927	0.855079938112429	0.860576923076923	0.543007915567282
chr1_107590006_107610484	chr1	107590006	107610484	Serpinb8	0.737536052740008	0.821615720524017	0.594898897058823	0.661930136175252	0.353907637655417
chr1_10993465_11303681	chr1	10993465	11303681	Prex2	0.569999328543611	0.87278360343184	0.541360488798371	0.495614307931571	0.288151684478924
chr1_109982431_110140157	chr1	109982431	110140157	Cdh7	0.404704595185996	0.670309753954306	0.391674263141902	0.381665183267255	0.219418083220357
chr1_110888326_110977584	chr1	110888326	110977584	Cdh19	0.671103896103896	0.69909630048009	0.559120845458723	0.489233135574599	0.292769656262347
chr1_111858702_111864918	chr1	111858702	111864918	Dsel	0.318489289740699	0.242604725034743	0.23735119047619	0.269521410579345	0.176544766708701
chr1_11414105_11975901	chr1	11414105	11975901	A830018L16Rik	0.599920456672281	0.855198984002305	0.566314758380496	0.522704220383083	0.304890263402977
chr1_115684756_116587323	chr1	115684756	116587323	Cntnap5a	0.568434310205463	0.87543980127341	0.527357299840243	0.50337153583955	0.301794105083298
chr1_116802983_116823410	chr1	116802983	116823410	Gm19965	0.841977309562399	0.953239162201656	0.766519823788546	0.805502239283429	0.415441176470588
chr1_117697131_117727441	chr1	117697131	117727441	Gm28363	0.858219500706547	0.564252336448598	0.725633528265107	0.717124277456647	0.42141715503463
chr1_117781133_117803359	chr1	117781133	117803359	B020011L13Rik	0.861734693877551	0.468253968253968	0.847136222910217	0.87381974248927	0.547420965058236
chr1_117830081_117854496	chr1	117830081	117854496	Gm28360	0.884359074872599	0.506118546845124	0.752906976744186	0.757892238309993	0.481599433828733
chr1_117928015_117949988	chr1	117928015	117949988	Gm28168	0.640239341810022	0.514758352254298	0.49813748730105	0.470325203252033	0.26962457337884
chr1_117965939_117986884	chr1	117965939	117986884	Gm7145	0.852676205617382	0.437519476472421	0.735006518904824	0.698641416220667	0.422548555187115
chr1_118176542_118202307	chr1	118176542	118202307	Gm29106	0.85747572815534	0.671238322401113	0.736917124821829	0.723608017817372	0.419066256639642
chr1_118294778_118311739	chr1	118294778	118311739	Tsn	0.315242494226328	0.551024811218986	0.232834456757683	0.187212208919879	0.0924401913875598
chr1_118321839_118333822	chr1	118321839	118333822	Nifk	0.686129848229342	0.718684541265186	0.526780659042011	0.427515560165975	0.196491228070175
chr1_118389058_118612678	chr1	118389058	118612678	Clasp1	0.778739778739779	0.885409687463051	0.612925794743977	0.547511779069368	0.247650644240414
chr1_118627945_118685168	chr1	118627945	118685168	Tfcp2l1	0.809038426844669	0.863053529720196	0.626390346274921	0.606352841902236	0.23248151131288
chr1_118834132_119053619	chr1	118834132	119053619	Gli2	0.585441836928332	0.887584801703284	0.467474533989329	0.419883325230919	0.220110947264939
chr1_119415465_119422248	chr1	119415465	119422248	Inhbb	0.0704194740273854	0.243102936814002	0.0789532418256891	0.0543106037849204	0.0243965740981054
chr1_119470305_119504794	chr1	119470305	119504794	Ralb	0.309354563548479	0.841465701533961	0.272499171519197	0.1752443933295	0.0781032958706907
chr1_119526160_119528983	chr1	119526160	119528983	Tmem185b	0.365497896213184	0.339222614840989	0.233455271034253	0.182650962796784	0.122171945701357
chr1_119545037_119649000	chr1	119545037	119649000	Epb41l5	0.7089223187654	0.776595744680851	0.560504609412906	0.513173966149014	0.248609748119071
chr1_119652467_119837613	chr1	119652467	119837613	Ptpn4	0.771631663974152	0.76412148736872	0.687532667179093	0.633430436225525	0.348323973323973
chr1_119907890_119913208	chr1	119907890	119913208	Tmem177	0.544357700496806	0.716865417376491	0.404851383669286	0.377802278574054	0.210010319917441
chr1_119923341_119997234	chr1	119923341	119997234	Cfap221	0.79312132734186	0.899037852892771	0.695100864553314	0.642794055527822	0.342947909838132
chr1_120006894_120063536	chr1	120006894	120063536	Sctr	0.344090841177349	0.846929484369204	0.31117179152321	0.222462298262633	0.120887245841035
chr1_120067377_120074074	chr1	120067377	120074074	Tmem37	0.63050276641809	0.509811827956989	0.585223116313094	0.568117313150426	0.228371686571512
chr1_120113280_120121078	chr1	120113280	120121078	Dbi	0.601025087671972	0.620413922859831	0.460365241822195	0.40958929566995	0.263588544710695
chr1_120121187_120188189	chr1	120121187	120188189	3110009E18Rik	0.726882320133854	0.887772724656036	0.642200360082305	0.572207361256899	0.331918857379425
chr1_120190757_120272705	chr1	120190757	120272705	Steap3	0.358435433434152	0.885958628100654	0.308458469903702	0.229696063776781	0.102877642339145
chr1_120340582_120343174	chr1	120340582	120343174	C1ql2	0.00598674363908488	0.00664716830630152	0.0219826675121539	0.033100356059607	0.0332446808510638
chr1_120474538_120505024	chr1	120474538	120505024	Marco	0.832455562870309	0.958384837247631	0.694323557237465	0.683507306889353	0.353437301082113
chr1_120602418_120607992	chr1	120602418	120607992	En1	0.013953488372093	0.050086627815404	0.0205833267106413	0.020128087831656	0.022439227093289
chr1_121304353_121332589	chr1	121304353	121332589	Insig2	0.581180270111568	0.717589220684632	0.49996070109251	0.503264316358888	0.34067823097359
chr1_121431049_121506460	chr1	121431049	121506460	Ccdc93	0.839591990933132	0.909984133962877	0.656467135643693	0.601286244210804	0.269693507191827
chr1_121509842_121528465	chr1	121509842	121528465	Htr5b	0.320872274143302	0.55224529737958	0.404849703877528	0.325942789270514	0.1845
chr1_121553835_121567989	chr1	121553835	121567989	Ddx18	0.707974851091992	0.685912037848256	0.530906332954114	0.459233702560378	0.268124280782509
chr1_123321471_124846039	chr1	123321471	124846039	Dpp10	0.550903523165519	0.887831312422444	0.542032711949146	0.528260614054562	0.323746220321698
chr1_125392905_125435727	chr1	125392905	125435727	Actr3	0.642285904698434	0.651647966339411	0.537388291081525	0.5132364537569	0.246741008324172
chr1_125560595_125595820	chr1	125560595	125595820	Slc35f5	0.607519016968988	0.707214187327824	0.482960151802657	0.426070428171269	0.22986687755371
chr1_125676995_125873862	chr1	125676995	125873862	Gpr39	0.41287141021922	0.864089171288568	0.369600974718245	0.297354362757568	0.164763134372827
chr1_125867622_125913101	chr1	125867622	125913101	Lypd1	0.250693343898574	0.626740680480452	0.27058481233634	0.207733751619723	0.14297385620915
chr1_125913620_126830799	chr1	125913620	126830799	Nckap5	0.757314273016814	0.916479942589503	0.691225883264814	0.679789890550762	0.404284871252357
chr1_12692277_12861192	chr1	12692277	12861192	Sulf1	0.785842126352344	0.837766953915324	0.607729745204695	0.545743484426189	0.287025867846133
chr1_127205015_127488336	chr1	127205015	127488336	Mgat5	0.826258772228657	0.910305638775194	0.681572149584708	0.657932292795722	0.303528324174413
chr1_127486546_127679548	chr1	127486546	127679548	Tmem163	0.436010932208425	0.807038541190393	0.376683861459101	0.297086970238721	0.171523888955082
chr1_127729413_127767978	chr1	127729413	127767978	Acmsd	0.571604071604072	0.855916354981299	0.4600806829909	0.354786643801069	0.173919126906394
chr1_127774164_127808061	chr1	127774164	127808061	Ccnt2	0.614682822523165	0.708515511138872	0.4498756660746	0.413812991132579	0.189284898332191
chr1_127814791_127855031	chr1	127814791	127855031	Map3k19	0.476996460993999	0.888234579893152	0.342590644505225	0.219488188976378	0.0971996559304215
chr1_127868773_127943868	chr1	127868773	127943868	Rab3gap1	0.821748043235184	0.872364476335578	0.75798550872538	0.723805554108269	0.430238457635718
chr1_127954184_128103047	chr1	127954184	128103047	Zranb3	0.835108296754695	0.901108949416342	0.752195141966191	0.700543072713705	0.358786982248521
chr1_128103301_128237736	chr1	128103301	128237736	R3hdm1	0.785352112676056	0.826902424056459	0.6965780403742	0.641009055627426	0.316621310445887
chr1_128243964_128279378	chr1	128243964	128279378	Ubxn4	0.554478748442475	0.841583223124882	0.419258066876418	0.414184505218252	0.185831850533808
chr1_128284756_128328318	chr1	128284756	128328318	Lct	0.796049188906332	0.835628544075411	0.624800127918132	0.538495921331992	0.23572732805843
chr1_128331590_128359664	chr1	128331590	128359664	Mcm6	0.700410196308233	0.70834573043737	0.563255439161966	0.504972285621128	0.243905584934864
chr1_128363707_128417368	chr1	128363707	128417368	Dars	0.704320987654321	0.718761305260111	0.530184314603388	0.525112221563479	0.221052631578947
chr1_128588199_128592293	chr1	128588199	128592293	Cxcr4	0.251721170395869	0.191138377641445	0.145146435807699	0.165334373172158	0.0879947661105659
chr1_12866549_12992650	chr1	12866549	12992650	Slco5a1	0.531809701492537	0.778196417541692	0.446484096091393	0.3607203723959	0.177956293825311
chr1_129273302_130219278	chr1	129273302	130219278	Thsd7b	0.581868254144876	0.896655291697831	0.557209868864355	0.537012078171168	0.302230071924075
chr1_130388537_130423009	chr1	130388537	130423009	Cd55b	0.838968620773534	0.843555856771716	0.713448193347691	0.699536829523383	0.397749598142525
chr1_130439027_130462744	chr1	130439027	130462744	Cd55	0.594735398958048	0.754664823773324	0.537909018355946	0.546834505738615	0.284395406439991
chr1_130576713_130629621	chr1	130576713	130629621	Zp3r	0.846037424325812	0.87274829600779	0.777407900577008	0.744987971130714	0.405599259602036
chr1_130634773_130661632	chr1	130634773	130661632	C4bp	0.380918476326095	0.955221543760764	0.381951219512195	0.279206134415877	0.140803286170698
chr1_130670209_130715799	chr1	130670209	130715799	Gm29427	0.759579263711495	0.893665283540802	0.649982937094756	0.583783423351337	0.282090053763441
chr1_130689182_130729253	chr1	130689182	130729253	Pfkfb2	0.632823488045007	0.581483393563931	0.46262284875706	0.428047764509858	0.20558516986236
chr1_130717327_130724358	chr1	130717327	130724358	Yod1	0.583212209302326	0.384367034834325	0.320450344479919	0.311544991511036	0.185239852398524
chr1_130731976_130744622	chr1	130731976	130744622	AA986860	0.317073170731707	0.910706450197455	0.245180217937972	0.179834207409914	0.0660106601066011
chr1_130800902_130814740	chr1	130800902	130814740	Fcamr	0.87886245556467	0.948175725986597	0.739897816999535	0.705358732419441	0.358181337562781
chr1_130826684_130852249	chr1	130826684	130852249	Pigr	0.76866610738255	0.961582134746404	0.59668321299639	0.559576464280927	0.30803961549665
chr1_130865669_130880791	chr1	130865669	130880791	Fcmr	0.270263359754538	0.570829299774121	0.20941624710845	0.116032155316245	0.0486390004462294
chr1_130882074_130887454	chr1	130882074	130887454	Il24	0.471528471528472	0.961748633879781	0.230541871921182	0.108425414364641	0.0384615384615385
chr1_130906985_130911451	chr1	130906985	130911451	Il20	0.872648335745297	0.966798418972332	0.788216560509554	0.764367816091954	0.418262150220913
chr1_130932656_130940115	chr1	130932656	130940115	Il19	0.39173320807891	0.955119214586255	0.319614921780987	0.164271047227926	0.0771408351026185
chr1_131019845_131024974	chr1	131019845	131024974	Il10	0.305135951661631	0.940409683426443	0.232029117379436	0.10518444666002	0.0582191780821918
chr1_131053700_131097826	chr1	131053700	131097826	Mapkapk2	0.630816077953715	0.71371840085351	0.495757227096217	0.459445452189686	0.285622040464916
chr1_131127455_131138340	chr1	131127455	131138340	Dyrk3	0.672386343534407	0.552624614027349	0.466591273207049	0.420051610436777	0.248295712770792
chr1_13113457_13127163	chr1	13113457	13127163	Prdm14	0.226219024780176	0.436384956864059	0.13555933220034	0.0603485370051635	0.0260432531221444
chr1_131153181_131187658	chr1	131153181	131187658	Eif2d	0.821359733660417	0.891251728907331	0.61948288051712	0.553430044104363	0.262631462822681
chr1_131176410_131245258	chr1	131176410	131245258	Rassf5	0.736939127706307	0.830754393484784	0.577887954670079	0.5154294864463	0.282714776632302
chr1_131254343_131279606	chr1	131254343	131279606	Ikbke	0.525930778469265	0.555703665726737	0.346410738603203	0.238712160082093	0.105377906976744
chr1_131285251_131527352	chr1	131285251	131527352	Srgap2	0.696748797200758	0.825750242013553	0.570852829001691	0.523175466690065	0.24038918556211
chr1_13139105_13374083	chr1	13139105	13374083	Ncoa2	0.802572639225182	0.861867164248153	0.613703464600818	0.573467071072562	0.27085414265591
chr1_131527903_131539872	chr1	131527903	131539872	Fam72a	0.411331005044626	0.329575021682567	0.346786833855799	0.366282262493136	0.194484760522496
chr1_131599239_131612000	chr1	131599239	131612000	Avpr1b	0.340872374798061	0.729485732709979	0.268039664378337	0.130263984915148	0.0689655172413793
chr1_131638306_131675505	chr1	131638306	131675505	Ctse	0.388062442607897	0.892508978963571	0.363728283849619	0.235242548217417	0.12930925621922
chr1_131688695_131715439	chr1	131688695	131715439	Rab7b	0.715807174887892	0.89546154542984	0.572534637326813	0.521297960046507	0.22529224229543
chr1_131744022_131771504	chr1	131744022	131771504	Slc26a9	0.726586102719033	0.882018321513002	0.584883616428507	0.527414903403864	0.238416988416988
chr1_131797381_131821473	chr1	131797381	131821473	Pm20d1	0.330952866761885	0.828451882845188	0.292996187035922	0.214899413243923	0.113248442156597
chr1_131827493_131848865	chr1	131827493	131848865	Slc41a1	0.619968429360695	0.723064690180042	0.418028128995596	0.301007465391027	0.160208333333333
chr1_131867224_131872887	chr1	131867224	131872887	Rab29	0.389867841409692	0.363463368220742	0.225048449612403	0.194734227521113	0.116520351157223
chr1_131910534_131936321	chr1	131910534	131936321	Nucks1	0.548955916473318	0.478811561005188	0.361458940011648	0.33429642355146	0.165147783251232
chr1_131962967_131982969	chr1	131962967	131982969	Slc45a3	0.589298539621738	0.681582426522933	0.441191609831425	0.373679981634527	0.205235709172717
chr1_132007607_132032612	chr1	132007607	132032612	Elk4	0.524078379275988	0.590271691498685	0.415022950006203	0.356112462521921	0.230117077109407
chr1_132022806_132068062	chr1	132022806	132068062	Mfsd4a	0.794998838739645	0.829548430543604	0.597132705337961	0.531531531531532	0.275350212055006
chr1_132112237_132139684	chr1	132112237	132139684	Cdk18	0.35477481234362	0.770162278766485	0.333458344495044	0.281779195073675	0.13754368447329
chr1_132191431_132259227	chr1	132191431	132259227	Lemd1	0.487892780718549	0.797482810306678	0.361357659434583	0.274339771383524	0.127292550913126
chr1_132191457_132209546	chr1	132191457	132209546	Gm29695	0.298865784499055	0.858995263607423	0.172813688212928	0.0839807257350772	0.0358861542692149
chr1_132229048_132229767	chr1	132229048	132229767	Gm10188	0.93128390596745	0.519892110586649	0.687275341480949	0.523381294964029	0.280952380952381
chr1_132298626_132307357	chr1	132298626	132307357	Klhdc8a	0.215770302121277	0.436818409204602	0.144692627001384	0.0772566817952597	0.0615155385270328
chr1_132316126_132333488	chr1	132316126	132333488	Nuak2	0.246577473553205	0.767417077394432	0.162699329789693	0.0977119784656797	0.0467223726020949
chr1_132356315_132391281	chr1	132356315	132391281	Tmcc2	0.772520848815127	0.725542238626467	0.520801027867618	0.47536911825583	0.221890621502649
chr1_132417555_132466958	chr1	132417555	132466958	Dstyk	0.628283017104402	0.850020927312468	0.470514002815124	0.387929685462417	0.170603054637065
chr1_132477365_132505659	chr1	132477365	132505659	Rbbp5	0.66595949855352	0.730416241772504	0.513371150729335	0.463419960690107	0.182108140947752
chr1_132506230_132508639	chr1	132506230	132508639	Tmem81	0.922322158626329	0.968012794882047	0.691932457786116	0.607648183556405	0.216666666666667
chr1_132509427_132543256	chr1	132509427	132543256	Cntn2	0.765216090922686	0.789864475201845	0.609032485253984	0.560982060210693	0.258694859642727
chr1_132564690_132741797	chr1	132564690	132741797	Nfasc	0.668509337156875	0.916562827505962	0.529733153103761	0.469965570649225	0.241114788579913
chr1_132880273_132940005	chr1	132880273	132940005	Lrrn2	0.347856120787487	0.71755457640697	0.223401135666871	0.116754801001948	0.0479987178973517
chr1_132959484_133030561	chr1	132959484	133030561	Mdm4	0.625048669695003	0.841147938561035	0.475843419186756	0.394541107716828	0.145104655935063
chr1_133045667_133108687	chr1	133045667	133108687	Pik3c2b	0.800174266627941	0.809665271966527	0.604308913083595	0.568445366267559	0.243119102723874
chr1_133131143_133139783	chr1	133131143	133139783	Ppp1r15b	0.213540601349969	0.283276450511945	0.157997924114866	0.142710355063363	0.0751422405336472
chr1_133164210_133303435	chr1	133164210	133303435	Plekha6	0.608990202136111	0.854933718252157	0.477586018436426	0.385807358353482	0.187357394731384
chr1_133309800_133323026	chr1	133309800	133323026	Golt1a	0.343431483578709	0.940686665906239	0.281729428172943	0.212171801487327	0.0714285714285714
chr1_133309827_133329722	chr1	133309827	133329722	Gm28040	0.293604651162791	0.766270166803391	0.261819658813972	0.206208985360929	0.0843217850851439
chr1_133309827_133329901	chr1	133309827	133329901	Gm28040	0.288528969777926	0.753949579831933	0.259526096701889	0.203038559986789	0.0825309491059147
chr1_133321875_133329901	chr1	133321875	133329901	Kiss1	0.222988505747126	0.516940058255404	0.238714210433866	0.195392491467577	0.102062684168229
chr1_133350510_133360325	chr1	133350510	133360325	Ren1	0.387655822438431	0.736535096247326	0.230649188514357	0.107600341588386	0.0449537241075364
chr1_133363572_133380336	chr1	133363572	133380336	Etnk2	0.200819672131148	0.794322498944702	0.148317654038478	0.101906513113326	0.0338637810311903
chr1_133382303_133424377	chr1	133382303	133424377	Sox13	0.314088598402324	0.691836392121755	0.240481195982247	0.18928988664709	0.0950033379551173
chr1_133603871_133610291	chr1	133603871	133610291	Snrpe	0.322650148128198	0.550981974710788	0.272985950560199	0.193627853506323	0.125270646458398
chr1_133619862_133661380	chr1	133619862	133661380	Zc3h11a	0.736831233216278	0.801863608437436	0.588470118586357	0.547072571462815	0.269502457002457
chr1_133619871_133661380	chr1	133619871	133661380	Zc3h11a	0.736831233216278	0.801863608437436	0.588470118586357	0.547072571462815	0.269502457002457
chr1_133619940_133661318	chr1	133619940	133661318	Gm38394	0.752481520591341	0.815487372156126	0.601636779395836	0.5551492992078	0.2734375
chr1_133679091_133690108	chr1	133679091	133690108	Lax1	0.576479936432261	0.966185822863347	0.384358420121831	0.298194525334886	0.13447820343461
chr1_133699457_133801041	chr1	133699457	133801041	Atp2b4	0.846825778939404	0.935225460345078	0.671229548031751	0.606656365632497	0.291783070764091
chr1_133897199_133907999	chr1	133897199	133907999	Optc	0.471339665902391	0.918618988902589	0.321748288572933	0.203855825649623	0.087409982617333
chr1_133910304_133921414	chr1	133910304	133921414	Prelp	0.557885141294439	0.957264957264957	0.335998745688304	0.265829145728643	0.105913717886573
chr1_134037254_134048277	chr1	134037254	134048277	Fmod	0.405946096137816	0.783780833879066	0.264336661911555	0.165998515219005	0.0683760683760684
chr1_134075170_134079120	chr1	134075170	134079120	Btg2	0.135208220659816	0.49640685461581	0.0703125	0.0686842105263158	0.0317647058823529
chr1_134111242_134151540	chr1	134111242	134151540	Chit1	0.597499224966415	0.902684563758389	0.46610306391686	0.36590742101396	0.151785714285714
chr1_134182176_134190181	chr1	134182176	134190181	Chil1	0.417903303015797	0.911871318531944	0.316856154226396	0.206095428428678	0.0887831946095918
chr1_134193448_134201232	chr1	134193448	134201232	Mybph	0.386218630370055	0.955864674566375	0.270226537216828	0.199749791492911	0.114959254947613
chr1_134199223_134235431	chr1	134199223	134235431	Adora1	0.380826811840762	0.819120731273001	0.26547346147064	0.19059246291348	0.0837284920742447
chr1_134289989_134292548	chr1	134289989	134292548	Myog	0.51457399103139	0.366320571057755	0.250240153698367	0.0869761153672826	0.0195121951219512
chr1_134296783_134332928	chr1	134296783	134332928	Ppfia4	0.873827392120075	0.799481657461973	0.708764570367569	0.667283469679262	0.353404036948341
chr1_134346097_134361979	chr1	134346097	134361979	Tmem183a	0.550083273852011	0.499397590361446	0.322131040771135	0.279693047760852	0.148464473923315
chr1_134385940_134390981	chr1	134385940	134390981	Mgat4f	0.450187969924812	0.958696475937855	0.291245791245791	0.125290923196276	0.0437017994858612
chr1_134405559_134411740	chr1	134405559	134411740	Cyb5r1	0.439243645381277	0.515075795435616	0.344157070039645	0.372619047619048	0.134726688102894
chr1_134415378_134433351	chr1	134415378	134433351	Adipor1	0.50126582278481	0.59386629026049	0.392223219835624	0.315163778930062	0.150270651918098
chr1_134455531_134491018	chr1	134455531	134491018	Klhl12	0.781516443361754	0.792819685356999	0.613783660429028	0.530627513326475	0.224374693477195
chr1_134494648_134508774	chr1	134494648	134508774	Rabif	0.685549900420447	0.677498388136686	0.476135783563042	0.432554276901175	0.196302124311566
chr1_134540941_134549682	chr1	134540941	134549682	Mgat4e	0.879419764279238	0.865994236311239	0.674915979223954	0.649190227834203	0.250359023456199
chr1_134560171_134635285	chr1	134560171	134635285	Kdm5b	0.546171313233253	0.718929717295236	0.411496681744643	0.340270023347883	0.165104542177361
chr1_134646677_134762593	chr1	134646677	134762593	Syt2	0.753749726297351	0.794833081697702	0.617839607201309	0.584430343782555	0.28882142015861
chr1_134754658_134955942	chr1	134754658	134955942	Ppp1r12b	0.813304938647196	0.940600621332413	0.701839099764864	0.645740879488214	0.32122650505393
chr1_134962565_134974162	chr1	134962565	134974162	Ube2t	0.503485254691689	0.556401195977168	0.33048275862069	0.340502978160159	0.133793103448276
chr1_134983301_135105276	chr1	134983301	135105276	Lgr6	0.778706273445363	0.804471049425227	0.606384502452823	0.575550589337851	0.292143066549399
chr1_135132700_135145317	chr1	135132700	135145317	Ptpn7	0.412135278514589	0.86242329099472	0.282770562770563	0.147207238559248	0.0485693676364511
chr1_135146824_135156269	chr1	135146824	135156269	Arl8a	0.179816121445371	0.16505406943654	0.076530612244898	0.0401715660633958	0.0333024976873266
chr1_135160234_135167681	chr1	135160234	135167681	Gpr37l1	0.428209459459459	0.54707330933889	0.33653603034134	0.175736497545008	0.0954063604240283
chr1_135253575_135258568	chr1	135253575	135258568	Elf3	0.492222222222222	0.793399562215861	0.226912363402614	0.185532233883058	0.0388159731918459
chr1_135262712_135284084	chr1	135262712	135284084	Rnpep	0.463056198122194	0.592046140433237	0.270702853166319	0.222478576137113	0.0964841498559078
chr1_135295213_135313778	chr1	135295213	135313778	Timm17a	0.780072386629764	0.741223671013039	0.562609610662925	0.496475865014951	0.24949118046133
chr1_135324807_135368065	chr1	135324807	135368065	Lmod1	0.449177967118685	0.865557346844772	0.344382941250472	0.236467065868263	0.111823241693372
chr1_135371057_135375237	chr1	135371057	135375237	Shisa4	0.275720164609054	0.259709773794281	0.112453144523115	0.0306006800151114	0.0267927501970055
chr1_135382312_135430499	chr1	135382312	135430499	Ipo9	0.738987508218277	0.856529866598691	0.578683899153545	0.494492973794151	0.235616628496079
chr1_135434580_135688105	chr1	135434580	135688105	Nav1	0.757891622170516	0.83945945162179	0.578054185100256	0.533182833664016	0.229662954495169
chr1_13564698_13589910	chr1	13564698	13589910	Tram1	0.685568395592583	0.717306645450358	0.521230293065093	0.487325428194993	0.292431972789116
chr1_135720061_135752232	chr1	135720061	135752232	Csrp1	0.776745168444398	0.808598216327464	0.626019442813336	0.55177647464643	0.281947671481968
chr1_135766119_135769136	chr1	135766119	135769136	Phlda3	0.0693101225016119	0.203411244472521	0.098287888395688	0.137238493723849	0.102767962308598
chr1_135779434_135810989	chr1	135779434	135810989	Tnni1	0.296875	0.801430598250177	0.227758238895402	0.139590347923681	0.0413304252998909
chr1_135818598_135833342	chr1	135818598	135833342	Lad1	0.338905276958374	0.673659376394822	0.226983163961778	0.130420139765934	0.0767279644895371
chr1_135836354_135852260	chr1	135836354	135852260	Tnnt2	0.323089257081774	0.948396259912416	0.252361866590324	0.15918301183336	0.0683986198498072
chr1_135871395_135919207	chr1	135871395	135919207	Pkp1	0.298946882927204	0.912806343966414	0.215381573744563	0.117090940630556	0.0542582417582418
chr1_135953578_136006342	chr1	135953578	136006342	Igfn1	0.771790207670153	0.956081683609774	0.64389456697149	0.550134421985462	0.287785429503443
chr1_136008150_136035342	chr1	136008150	136035342	Tmem9	0.746033793370308	0.751976722120311	0.600648231156472	0.531215772179628	0.270796654929577
chr1_136050804_136051370	chr1	136050804	136051370	Ascl5	0.0205784204671858	0.00508905852417303	0.0229370629370629	0.0341483979763912	0.0205198358413133
chr1_136052750_136119822	chr1	136052750	136119822	Cacna1s	0.397870442635745	0.873638129903347	0.287406925895284	0.213643028525726	0.091819235225956
chr1_136131389_136177998	chr1	136131389	136177998	Kif21b	0.636359702267613	0.729486002753557	0.464682815447235	0.387809070474679	0.184516523867809
chr1_136181652_136212828	chr1	136181652	136212828	Mroh3	0.710859427048634	0.954098852471312	0.525997369574748	0.428872497365648	0.199452429842574
chr1_136213531_136234264	chr1	136213531	136234264	Inava	0.434397723680051	0.717634882779103	0.246866065537717	0.172497516830372	0.0630029261155816
chr1_13623330_13660546	chr1	13623330	13660546	Lactb2	0.629052525760241	0.829611101185159	0.459459459459459	0.393364252586514	0.162297926751302
chr1_136259797_136260873	chr1	136259797	136260873	Gpr25	0.00657219141507496	0.00477960701009028	0.00710088148873653	0.00989456609894566	0.0142857142857143
