gene	Oocyte	Sperm	Zygote	Two-cell	Four-cell	Eight-cell	Morula	Blast
Serpinb13	0.372549019607843	0.775629496402878	0.2609221253	0.1449289212	0.2567376562	0.2413819296	0.2122758556	0.1161499593
Serpinb3a	0.875862068965517	0.953208556149733	0.471912225	0.48428572	0.6467819444	0.6562009714	0.3089127118	0.313077
Serpinb3d	0.354430379746835	0.883480825958702	0.4151515455	0.134259325	0.2845318231	0.232906	0.1974752143	0.1588244857
Serpinb3b	0.528401727861771	0.81204468188441	0.2958619389	0.2641964032	0.3285122099	0.3708061606	0.3101102781	0.1761726157
Serpinb3c	0.431235431235431	0.933274021352313	0.1746279812	0.2457367125	0.3377247577	0.2902763864	0.15622224	0.062678
Serpinb11	0.387947269303202	0.936642027455121	0.1980607505	0.226904	0.2365597067	0.2902342135	0.2839088156	0.08595763056
Serpinb7	0.492769440654843	0.935846994535519	0.2739845812	0.2973444793	0.3765542508	0.3730612242	0.2973486892	0.1697216747
Serpinb2	0.88641975308642	0.954105414126927	0.6524531103	0.4374301188	0.5857131777	0.6175156167	0.5015382375	0.2348047682
Serpinb8	0.737536052740008	0.821615720524017	0.3519440587	0.250946825	0.4360030564	0.4120811163	0.3909729584	0.1640836813
Prex2	0.569999328543611	0.87278360343184	0.3780171368	0.2552771943	0.37889962	0.3662710893	0.3208318471	0.1733875034
Cdh7	0.404704595185996	0.670309753954306	0.2644993709	0.2367568677	0.2556469456	0.3066859839	0.2387810672	0.1633114639
Cdh19	0.671103896103896	0.69909630048009	0.4286247566	0.2584582286	0.4343479846	0.3848257729	0.3707933683	0.1866566693
Dsel	0.318489289740699	0.242604725034743	0.149066923	0.1521591116	0.1270800117	0.1998309108	0.1455660795	0.06165820577
A830018L16Rik	0.599920456672281	0.855198984002305	0.3855998916	0.246445863	0.4024102783	0.389394294	0.3296123832	0.1706097863
Cntnap5a	0.568434310205463	0.87543980127341	0.3355406913	0.2618483021	0.3759922336	0.3816994409	0.3323002489	0.2032441726
Gm19965	0.841977309562399	0.953239162201656	0.4791602643	0.3792893	0.5512354482	0.481696266	0.4238684167	0.2644149958
Gm28363	0.858219500706547	0.564252336448598	0.488973865	0.203704842	0.456243802	0.4594804312	0.4424541936	0.1790137738
B020011L13Rik	0.861734693877551	0.468253968253968	0.5292131667	0.5559451091	0.6198085299	0.6155512932	0.5653152198	0.2763928931
Gm28360	0.884359074872599	0.506118546845124	0.5313811196	0.2887812041	0.4836024975	0.5186076313	0.4052594071	0.1594755475
Gm28168	0.640239341810022	0.514758352254298	0.4236506815	0.3319606633	0.3693489507	0.3576098761	0.3304421988	0.1888948762
Gm7145	0.852676205617382	0.437519476472421	0.5143983904	0.43422964	0.5177413786	0.5098558812	0.4243164279	0.2056238378
Gm29106	0.85747572815534	0.671238322401113	0.6490988692	0.3262760109	0.5010930532	0.4889250531	0.4884496871	0.2092350771
Tsn	0.315242494226328	0.551024811218986	0.1483607829	0.06007975978	0.1168828364	0.06144302526	0.08834623105	0.03171378074
Nifk	0.686129848229342	0.718684541265186	0.3146183335	0.1160662978	0.2581071571	0.1952049741	0.1971577563	0.09989688
Clasp1	0.778739778739779	0.885409687463051	0.3994423891	0.1906924975	0.3297383865	0.3123548602	0.3019017304	0.1220827916
Tfcp2l1	0.809038426844669	0.863053529720196	0.367241648	0.1784060013	0.344452154	0.3055695374	0.3002538366	0.126397323
Gli2	0.585441836928332	0.887584801703284	0.2325158759	0.1465336846	0.2617483762	0.2358535385	0.2260572187	0.09841453042
Inhbb	0.0704194740273854	0.243102936814002	0.06828374731	0.03524474853	0.04699457	0.02842074881	0.03667598601	0.02821020845
Ralb	0.309354563548479	0.841465701533961	0.1554752389	0.1289873505	0.1385510819	0.1352122912	0.1036956651	0.07633767853
Tmem185b	0.365497896213184	0.339222614840989	0.09759331263	0.05036385	0.1134200208	0.1152367702	0.09963135684	0.04374342905
Epb41l5	0.7089223187654	0.776595744680851	0.3624401489	0.2255705755	0.3590933019	0.337967627	0.3122999857	0.1499826488
Ptpn4	0.771631663974152	0.76412148736872	0.4501815021	0.2784266625	0.4378518534	0.4232738912	0.3949405071	0.1826297493
Tmem177	0.544357700496806	0.716865417376491	0.1882789317	0.1009673636	0.1893495719	0.1365313283	0.1498424902	0.1009803211
Cfap221	0.79312132734186	0.899037852892771	0.412131309	0.2347143375	0.3737170753	0.364010025	0.3490772793	0.1376788171
Sctr	0.344090841177349	0.846929484369204	0.1689463232	0.1295423627	0.1683971488	0.129728799	0.1495191949	0.07877470027
Tmem37	0.63050276641809	0.509811827956989	0.2666184985	0.1376637675	0.3119143477	0.3410325233	0.2591280806	0.1088513278
Dbi	0.601025087671972	0.620413922859831	0.288395076	0.2039145962	0.2822468807	0.2581206092	0.2685817435	0.09112885286
3110009E18Rik	0.726882320133854	0.887772724656036	0.4003210915	0.1974468846	0.3746186335	0.3476821337	0.3242553766	0.1406814249
Steap3	0.358435433434152	0.885958628100654	0.1678898253	0.139950575	0.1882910816	0.1695017591	0.1685546917	0.0783283275
C1ql2	0.00598674363908488	0.00664716830630152	0.00986490061	0.04041880777	0.03672533072	0.0241308515	0.03567503292	0.05459038198
Marco	0.832455562870309	0.958384837247631	0.3949863143	0.1765540202	0.4267049321	0.4452046436	0.4028903869	0.1714101102
En1	0.013953488372093	0.050086627815404	0.03412199352	0.01312250267	0.01237213942	0.01700028219	0.02854311581	0.02286114277
Insig2	0.581180270111568	0.717589220684632	0.400434432	0.1675114045	0.3403743427	0.3690013456	0.3135679337	0.1952642041
Ccdc93	0.839591990933132	0.909984133962877	0.3504550731	0.166215607	0.3478581587	0.3077838168	0.3024606351	0.1253231923
Htr5b	0.320872274143302	0.55224529737958	0.252848175	0.1737156653	0.2442599844	0.2530896041	0.2169462559	0.1133421644
Ddx18	0.707974851091992	0.685912037848256	0.2628630652	0.1051477447	0.2510351853	0.2297163995	0.1750468848	0.09499031127
Dpp10	0.550903523165519	0.887831312422444	0.3662648806	0.2937786988	0.4185213546	0.4167816818	0.3636193073	0.2060969894
Actr3	0.642285904698434	0.651647966339411	0.3077144141	0.2450742617	0.3191208332	0.3595831409	0.275940643	0.1164776211
Slc35f5	0.607519016968988	0.707214187327824	0.390908457	0.2031987842	0.3252307929	0.3245943683	0.2665658014	0.1110934958
Gpr39	0.41287141021922	0.864089171288568	0.180215733	0.161953095	0.1999370926	0.2118848144	0.1886363136	0.1053020712
Lypd1	0.250693343898574	0.626740680480452	0.1329443331	0.1119894119	0.1835105426	0.1704214947	0.1451975084	0.09916265868
Nckap5	0.757314273016814	0.916479942589503	0.4504111102	0.262411629	0.4886694903	0.4813455263	0.4268622521	0.2005680958
Sulf1	0.785842126352344	0.837766953915324	0.3932038432	0.2457076665	0.3433451309	0.3442590907	0.3178667538	0.1420493286
Mgat5	0.826258772228657	0.910305638775194	0.4054312737	0.2151386557	0.4326864035	0.3957519149	0.3691392771	0.1557206346
Tmem163	0.436010932208425	0.807038541190393	0.2523890974	0.1608850144	0.2548515684	0.237472368	0.2423727521	0.1311901963
Acmsd	0.571604071604072	0.855916354981299	0.2998518932	0.1992759648	0.2219448247	0.222969647	0.2564831486	0.1315647222
Ccnt2	0.614682822523165	0.708515511138872	0.3316998817	0.2450811496	0.2648064586	0.3019360324	0.2266892083	0.09495870719
Map3k19	0.476996460993999	0.888234579893152	0.1840996938	0.1732413412	0.1846832945	0.1501209621	0.1661571171	0.0843565467
Rab3gap1	0.821748043235184	0.872364476335578	0.4743866201	0.2215663759	0.4556184559	0.4613610798	0.4199101251	0.1587303753
Zranb3	0.835108296754695	0.901108949416342	0.4533817448	0.2395992626	0.3946180123	0.3677012735	0.3590631482	0.1624687046
R3hdm1	0.785352112676056	0.826902424056459	0.4937046443	0.3200675665	0.4624054987	0.4157654792	0.3870590079	0.1647559455
Ubxn4	0.554478748442475	0.841583223124882	0.3962553091	0.1943203805	0.3014370138	0.2708410244	0.2706944428	0.1039170374
Lct	0.796049188906332	0.835628544075411	0.339914235	0.2577117307	0.3185352144	0.3038987469	0.2776216142	0.1380045603
Mcm6	0.700410196308233	0.70834573043737	0.3869731997	0.2121756791	0.3515689943	0.3433181281	0.2966095266	0.1190370341
Dars	0.704320987654321	0.718761305260111	0.4145032675	0.1937520207	0.3789791812	0.3318302749	0.3157319381	0.133655337
Cxcr4	0.251721170395869	0.191138377641445	0.07227186929	0.04747912055	0.04179191111	0.08184597008	0.08047905447	0.03787108391
Slco5a1	0.531809701492537	0.778196417541692	0.2720931733	0.1723123454	0.2248719037	0.2152705576	0.204811142	0.09238959015
Thsd7b	0.581868254144876	0.896655291697831	0.3759124758	0.266492547	0.41656746	0.4098112316	0.3531562621	0.1789854236
Cd55b	0.838968620773534	0.843555856771716	0.436399112	0.2585205341	0.4989108088	0.4403622308	0.4113980904	0.1675864164
Cd55	0.594735398958048	0.754664823773324	0.3935484918	0.1272822116	0.4291670046	0.362393175	0.3194213532	0.1363179185
Zp3r	0.846037424325812	0.87274829600779	0.330694983	0.1713637596	0.3687911586	0.3425995388	0.3317787814	0.1434605659
C4bp	0.380918476326095	0.955221543760764	0.2167955063	0.2166277	0.2165391416	0.2313942	0.1784948736	0.1345028282
Gm29427	0.759579263711495	0.893665283540802	0.3286077064	0.1978758182	0.3570653889	0.3466716826	0.3182258652	0.1545995532
Pfkfb2	0.632823488045007	0.581483393563931	0.2357054409	0.1331738221	0.2963509033	0.2668135429	0.2034585214	0.1163321149
Yod1	0.583212209302326	0.384367034834325	0.1680544	0.08400015763	0.2791491606	0.2460983212	0.1498707	0.1356917
AA986860	0.317073170731707	0.910706450197455	0.1876572741	0.1046395159	0.1077962462	0.07781957421	0.1084916133	0.04882954433
Fcamr	0.87886245556467	0.948175725986597	0.4525315819	0.2054511806	0.3964853625	0.3783850062	0.3685876654	0.1944026048
Pigr	0.76866610738255	0.961582134746404	0.3896108794	0.2103019877	0.4182093481	0.345758213	0.3106259042	0.1425997885
Fcmr	0.270263359754538	0.570829299774121	0.08473109808	0.08762553537	0.08623763438	0.09395031667	0.07544343924	0.04697525543
Il24	0.471528471528472	0.961748633879781	0.1578675851	0.06550390769	0.07292957143	0.03128239333	0.03689296304	0.04883567778
Il20	0.872648335745297	0.966798418972332	0.4664464346	0.16152987	0.3165279346	0.495404608	0.3170632385	0.1553274231
Il19	0.39173320807891	0.955119214586255	0.1814509341	0.150298628	0.08436221477	0.1387700111	0.1240127511	0.07665263333
Il10	0.305135951661631	0.940409683426443	0.074543622	0.0455187069	0.08797786182	0.1179594269	0.06015784906	0.03996211852
Mapkapk2	0.630816077953715	0.71371840085351	0.2599822223	0.1320696626	0.2521983709	0.2334569789	0.2314233268	0.09449233568
Dyrk3	0.672386343534407	0.552624614027349	0.2542816829	0.07383660985	0.2204999702	0.1896745049	0.1813318387	0.06946208581
Prdm14	0.226219024780176	0.436384956864059	0.05027466966	0.06765968359	0.04365748439	0.05367855726	0.02544724576	0.01804597445
Eif2d	0.821359733660417	0.891251728907331	0.3740398025	0.1719037318	0.2785965132	0.2608174138	0.2473674854	0.1421854106
Rassf5	0.736939127706307	0.830754393484784	0.3399331587	0.142499037	0.2974150102	0.285607566	0.2701337459	0.1251996922
Ikbke	0.525930778469265	0.555703665726737	0.1848893133	0.0890220801	0.1277986867	0.1092604312	0.0886257742	0.05932249469
Srgap2	0.696748797200758	0.825750242013553	0.3971269447	0.2211638802	0.3444544939	0.3269923734	0.2988205992	0.1355337874
Ncoa2	0.802572639225182	0.861867164248153	0.3800544443	0.2192175301	0.3165793972	0.3116581604	0.2761207626	0.1353663969
Fam72a	0.411331005044626	0.329575021682567	0.2530848	0.1014466683	0.3159465346	0.2515923035	0.2004743018	0.06865215303
Avpr1b	0.340872374798061	0.729485732709979	0.1866346444	0.1000588579	0.09682531481	0.09083039653	0.09703236544	0.03923880206
Ctse	0.388062442607897	0.892508978963571	0.261926153	0.1648228776	0.2531013356	0.2156299163	0.1992817452	0.1009712728
Rab7b	0.715807174887892	0.89546154542984	0.3003410802	0.1621517983	0.2711066251	0.2909726293	0.2855493145	0.1150873064
Slc26a9	0.726586102719033	0.882018321513002	0.3362951126	0.1593566912	0.2762484744	0.2735360862	0.2772717664	0.1063779022
Pm20d1	0.330952866761885	0.828451882845188	0.1623343762	0.1218073566	0.123398047	0.1426529258	0.1378792245	0.07955233824
Slc41a1	0.619968429360695	0.723064690180042	0.201517767	0.116618047	0.1600719049	0.1612379982	0.165961828	0.08451063221
Rab29	0.389867841409692	0.363463368220742	0.1600662	0.08837443333	0.138954513	0.1405739065	0.1271073376	0.05539731111
Nucks1	0.548955916473318	0.478811561005188	0.3449456311	0.1177163868	0.2673104571	0.2193426047	0.2221078557	0.07568670301
Slc45a3	0.589298539621738	0.681582426522933	0.2079448271	0.1233870642	0.165908577	0.1559836845	0.1603225979	0.07750846475
Elk4	0.524078379275988	0.590271691498685	0.2689645669	0.1320877422	0.2386830094	0.1960592006	0.1823666519	0.1005609173
Mfsd4a	0.794998838739645	0.829548430543604	0.3362077884	0.1843716043	0.2799347082	0.2837032155	0.2802789878	0.1202825829
Cdk18	0.35477481234362	0.770162278766485	0.1781890107	0.1413720213	0.1522595916	0.1720334653	0.1516958162	0.08281391935
Lemd1	0.487892780718549	0.797482810306678	0.2538973574	0.1595744773	0.1753805327	0.1564275969	0.1610938927	0.08433338307
Gm29695	0.298865784499055	0.858995263607423	0.1833248473	0.1247382648	0.0950515754	0.07112543052	0.04768567683	0.0323374513
Gm10188	0.93128390596745	0.519892110586649	0.59707984	0.1805352158	0.321209704	0.220954624	0.233154344	0.03871903
Klhdc8a	0.215770302121277	0.436818409204602	0.06411640968	0.06541645289	0.05409314108	0.04717829126	0.07221381858	0.03122318946
Nuak2	0.246577473553205	0.767417077394432	0.1174018245	0.05894297841	0.06486593942	0.06767166278	0.05465734191	0.03492831128
Tmcc2	0.772520848815127	0.725542238626467	0.2340176338	0.1069801	0.2046394248	0.1983648528	0.1904582727	0.09001856721
Dstyk	0.628283017104402	0.850020927312468	0.2887066667	0.1433304695	0.2011685896	0.2092128631	0.2016487967	0.08469603643
Rbbp5	0.66595949855352	0.730416241772504	0.3457272296	0.1814834657	0.2875001346	0.2780525373	0.2565087014	0.1199574287
Tmem81	0.922322158626329	0.968012794882047	0.3658877089	0.15313765	0.1956232413	0.269192813	0.1438453244	0.1264659786
Cntn2	0.765216090922686	0.789864475201845	0.2627529711	0.1380940003	0.2618576934	0.2523656527	0.2265824621	0.1145328516
Nfasc	0.668509337156875	0.916562827505962	0.2704437974	0.1471592294	0.2211977053	0.2003858979	0.2067152082	0.096555689
Lrrn2	0.347856120787487	0.71755457640697	0.142303689	0.08669319958	0.07706877712	0.06613564707	0.0454522101	0.03316550975
Mdm4	0.625048669695003	0.841147938561035	0.3013607427	0.1963035554	0.2906594575	0.2318320572	0.2491431711	0.1001264515
Pik3c2b	0.800174266627941	0.809665271966527	0.3063457936	0.1669382594	0.2919994456	0.2599282542	0.2534096056	0.1134717047
Ppp1r15b	0.213540601349969	0.283276450511945	0.141564319	0.0673708562	0.1068397587	0.1232394927	0.08551963034	0.02220105207
Plekha6	0.608990202136111	0.854933718252157	0.2318606914	0.1368626107	0.1939814623	0.195096644	0.195839653	0.08454273118
Golt1a	0.343431483578709	0.940686665906239	0.2356431735	0.1768842371	0.1713156491	0.1536870772	0.1620035478	0.062274108
Kiss1	0.222988505747126	0.516940058255404	0.1697093077	0.08960080871	0.169127368	0.1624748735	0.1064692587	0.05888442151
Ren1	0.387655822438431	0.736535096247326	0.08463826319	0.05997069362	0.05526241597	0.0426574531	0.03977926111	0.03110931063
Etnk2	0.200819672131148	0.794322498944702	0.08014251686	0.06429730843	0.0501828658	0.04141445811	0.03589582714	0.03556155525
Sox13	0.314088598402324	0.691836392121755	0.1213619756	0.07832934881	0.1205943872	0.1263003148	0.1015453932	0.04764783359
Snrpe	0.322650148128198	0.550981974710788	0.2032729565	0.175423683	0.1487194027	0.1378903052	0.1353238591	0.06866456094
Gm38394	0.752481520591341	0.815487372156126	0.4361219199	0.2595270148	0.3760128126	0.337815055	0.2921322784	0.142513183
Lax1	0.576479936432261	0.966185822863347	0.2173873296	0.1855638111	0.113344677	0.1312341754	0.1447646765	0.07895489538
Atp2b4	0.846825778939404	0.935225460345078	0.3611095942	0.1792997553	0.3099375625	0.3112106037	0.2668564148	0.1294320339
Optc	0.471339665902391	0.918618988902589	0.1969299632	0.139541945	0.1925855691	0.1617941752	0.1404697515	0.09885887927
Prelp	0.557885141294439	0.957264957264957	0.2439878157	0.1456394357	0.1192077162	0.1145184073	0.122854857	0.06457792
Fmod	0.405946096137816	0.783780833879066	0.1664555871	0.1036988903	0.08947564788	0.13138025	0.1185169043	0.06032322321
Btg2	0.135208220659816	0.49640685461581	0.07217844598	0.06455035556	0.08009735955	0.03239414607	0.02912720667	0.02191308333
Chit1	0.597499224966415	0.902684563758389	0.2536808219	0.1659801982	0.2041689249	0.1993804959	0.1963765726	0.09854196071
Chil1	0.417903303015797	0.911871318531944	0.176285211	0.1131209358	0.1424941586	0.09754794554	0.1287712578	0.08440017733
Mybph	0.386218630370055	0.955864674566375	0.1664224804	0.1082899822	0.1533062974	0.1301160374	0.1365215752	0.09721667558
Adora1	0.380826811840762	0.819120731273001	0.1591229792	0.09118670968	0.10562266	0.1130511278	0.08873461874	0.05636488506
Myog	0.51457399103139	0.366320571057755	0.1259167881	0.02111739231	0.02873207609	0.01304611522	0.0215850881	0.04144314412
Ppfia4	0.873827392120075	0.799481657461973	0.3575000548	0.1363436784	0.3090779354	0.3329122891	0.2812628052	0.1065050974
Tmem183a	0.550083273852011	0.499397590361446	0.2331899696	0.1231168382	0.1964058691	0.1691492347	0.1594120202	0.07334180762
Mgat4f	0.450187969924812	0.958696475937855	0.1394737977	0.077420224	0.06259696522	0.03891752083	0.05510821064	0.0853175
Cyb5r1	0.439243645381277	0.515075795435616	0.2743793909	0.176401237	0.1587585009	0.1466816936	0.1314569164	0.06568512381
Adipor1	0.50126582278481	0.59386629026049	0.2622704641	0.1297139007	0.2151312459	0.1851130134	0.191141153	0.08954678596
Klhl12	0.781516443361754	0.792819685356999	0.3775099944	0.1848609745	0.2984254774	0.2820276125	0.2706785582	0.1066986201
Rabif	0.685549900420447	0.677498388136686	0.2880292425	0.1561515274	0.2604065309	0.2592008622	0.214586753	0.08957975133
Mgat4e	0.879419764279238	0.865994236311239	0.3942798632	0.2467124968	0.3723995707	0.2749317959	0.3285430164	0.1219735062
Kdm5b	0.546171313233253	0.718929717295236	0.2722259441	0.1716124683	0.2314235503	0.2193966791	0.1739337345	0.08529983949
Syt2	0.753749726297351	0.794833081697702	0.31683601	0.1789524717	0.3291007142	0.3150074095	0.2715765243	0.1336459029
Ppp1r12b	0.813304938647196	0.940600621332413	0.4387842835	0.2433471208	0.3933511514	0.3693799443	0.3639299244	0.148010096
Ube2t	0.503485254691689	0.556401195977168	0.3236313326	0.2304377225	0.3022037971	0.2433271821	0.1408802462	0.06601921538
Lgr6	0.778706273445363	0.804471049425227	0.3159985917	0.1581864171	0.3238825221	0.2920975757	0.2702416713	0.130560219
Ptpn7	0.412135278514589	0.86242329099472	0.1270869741	0.07753874713	0.03713708896	0.06790750692	0.04485390133	0.03643445818
Arl8a	0.179816121445371	0.16505406943654	0.1292941605	0.03535213468	0.04341229162	0.0487836866	0.03921207306	0.02776860979
Gpr37l1	0.428209459459459	0.54707330933889	0.1303167	0.08933105179	0.1563385076	0.1264385424	0.1303087	0.07657761061
Elf3	0.492222222222222	0.793399562215861	0.1460852364	0.08533129857	0.05609431607	0.08500172432	0.06848514505	0.04138407556
Rnpep	0.463056198122194	0.592046140433237	0.1650653895	0.09849340051	0.1287788104	0.1220529591	0.1298753884	0.06568714372
Timm17a	0.780072386629764	0.741223671013039	0.3487494901	0.1585210903	0.3569435195	0.2740099463	0.265417046	0.08701893607
Lmod1	0.449177967118685	0.865557346844772	0.1833355935	0.1309577799	0.1226997341	0.1347864737	0.1282846774	0.08569000873
Shisa4	0.275720164609054	0.259709773794281	0.08118142947	0.04793292692	0.02793402812	0.02398446989	0.03277828229	0.01946250968
Ipo9	0.738987508218277	0.856529866598691	0.3614632232	0.1652016904	0.2856398869	0.2878697554	0.2922374179	0.1227150365
Nav1	0.757891622170516	0.83945945162179	0.3412741662	0.1794969953	0.2919127139	0.2718981646	0.2639398134	0.1120656513
Tram1	0.685568395592583	0.717306645450358	0.3849615179	0.1295541374	0.2900581577	0.2520905077	0.2388725394	0.1458252059
Csrp1	0.776745168444398	0.808598216327464	0.3063445814	0.2160467917	0.3290519194	0.2969611742	0.2438216386	0.1019778681
Phlda3	0.0693101225016119	0.203411244472521	0.05020228235	0.07665870023	0.1115666825	0.1189742413	0.1322731398	0.05410748846
Tnni1	0.296875	0.801430598250177	0.09942314318	0.08877322979	0.07542637008	0.07892271072	0.06439074733	0.04766801878
Lad1	0.338905276958374	0.673659376394822	0.1312283903	0.1216107846	0.09545279161	0.090268677	0.08364727133	0.04817832551
Tnnt2	0.323089257081774	0.948396259912416	0.1367319492	0.1147412327	0.08813197539	0.1115650786	0.1034078647	0.05612161759
Pkp1	0.298946882927204	0.912806343966414	0.1357918243	0.1002263102	0.0788942204	0.08277745858	0.08163792344	0.05715048073
Igfn1	0.771790207670153	0.956081683609774	0.3309279939	0.1624455714	0.2775128428	0.2982275061	0.2573838283	0.1149081361
Tmem9	0.746033793370308	0.751976722120311	0.3142509498	0.1497574245	0.3146621712	0.2900298361	0.255626655	0.1169812302
Ascl5	0.0205784204671858	0.00508905852417303	0.01502663654	0.02032735238	0.006597038182	0.03311353818	0.0104762	0.04460791087
Cacna1s	0.397870442635745	0.873638129903347	0.1524091364	0.116848934	0.1305567644	0.1174267987	0.1136925227	0.06434386424
Kif21b	0.636359702267613	0.729486002753557	0.1879102476	0.1014162037	0.1716733249	0.1571480591	0.1645036069	0.07301559867
Mroh3	0.710859427048634	0.954098852471312	0.3021456725	0.1527971674	0.240463982	0.1955570897	0.1637789118	0.1137474071
Inava	0.434397723680051	0.717634882779103	0.1326462244	0.08916383362	0.07671715926	0.07632554536	0.08150202789	0.04314366292
Lactb2	0.629052525760241	0.829611101185159	0.3288488664	0.156052492	0.2329841289	0.196022152	0.1806528419	0.07795722234
Gpr25	0.00657219141507496	0.00477960701009028	0.004447924194	0.003421799643	0.006881883871	0.008710771774	0.00492880379	0.008622879174
Camsap2	0.710435383552177	0.779658990362771	0.3711476467	0.232332077	0.3515557175	0.3170887952	0.2908242898	0.1250089243
Ddx59	0.708078123194268	0.738778811160534	0.3670003934	0.2048624126	0.3406069318	0.3323706177	0.3006760176	0.1217922818
Kif14	0.850475700694266	0.943908433076958	0.4283320466	0.1871768216	0.3733465926	0.331310196	0.3126841525	0.1453828081
Zfp281	0.389772727272727	0.291316912068254	0.240210004	0.08479098472	0.08716291597	0.1260545343	0.0504950587	0.01918907683
Xkr9	0.406324379462768	0.94578313253012	0.1882206199	0.1921569571	0.1859819381	0.2061599811	0.1833382956	0.1020160408
Nr5a2	0.74284904233871	0.778499704666273	0.4084909166	0.2271026789	0.3743507059	0.3629917111	0.3409375545	0.145267316
Ptprc	0.378007536960093	0.841482321799962	0.260627656	0.2277238643	0.3432970229	0.3336261133	0.2886482295	0.1570841398
Atp6v1g3	0.372643789270179	0.739256572982774	0.2030183547	0.1646665219	0.2756046	0.3339159313	0.153402657	0.1396049961
Nek7	0.728071527670726	0.81262899113755	0.4626105122	0.2941271732	0.4476413413	0.4506923965	0.374635347	0.1808367428
Lhx9	0.140819964349376	0.186373322582503	0.06487942058	0.07926723351	0.05993420836	0.06257524448	0.0424579504	0.04923927692
2310009B15Rik	0.251870324189526	0.307015866947046	0.06040909623	0.03253705	0.05602558649	0.04201315577	0.04727584414	0.02439794125
Dennd1b	0.778341013824885	0.871503666688299	0.4391214303	0.2604762048	0.431458626	0.4153721408	0.3884888556	0.1607407641
Crb1	0.608851199151981	0.870974397449123	0.4428622429	0.3128777613	0.4198613775	0.3879984527	0.3367377424	0.1797853074
Zbtb41	0.641633548033438	0.601680672268908	0.4431370274	0.2498570768	0.3995007255	0.3812850705	0.3505156391	0.1433890945
Aspm	0.769638739431207	0.808861671469741	0.4433196364	0.2149521762	0.406414428	0.3421166029	0.3427766584	0.1342448364
F13b	0.473448017950636	0.776025719534599	0.3266584405	0.2846197642	0.2865892209	0.230422851	0.3024579195	0.1557628905
Cfhr1	0.350931677018634	0.911669890393295	0.3330669577	0.3185205	0.4142646469	0.3680555844	0.3948443056	0.218776625
Gm4788	0.579476439790576	0.788806088473125	0.373226918	0.2417906025	0.3598524164	0.3840593733	0.3590149109	0.1834997044
Cfhr2	0.674148188209843	0.763995754842133	0.4407303901	0.3109303256	0.4295488488	0.4423633229	0.3621332172	0.1650215561
Cfh	0.562155282138311	0.853978671041838	0.4419521854	0.3459900105	0.4418473686	0.4572302533	0.3353865608	0.1553620038
Kcnt2	0.489638966032899	0.887120239623449	0.2969691587	0.2531420974	0.3437937937	0.3659885053	0.2934251832	0.1567733395
Eya1	0.771813301792376	0.864596729744626	0.4681401433	0.2491107188	0.4968894259	0.4458797805	0.397901579	0.1755476672
Cdc73	0.784597341673182	0.754663672257036	0.537838674	0.3333029448	0.4905943157	0.4520699489	0.4249843925	0.1686931677
B3galt2	0.869071146245059	0.913309535951045	0.61516115	0.433104745	0.5842169486	0.6188798765	0.5273817859	0.2557581069
Glrx2	0.314271381991472	0.610000553740517	0.1622971051	0.1176172639	0.1407389971	0.1152574711	0.1105218625	0.05460915974
Ro60	0.712561983471074	0.704898175486411	0.3456042912	0.2181084167	0.3208936274	0.3421343473	0.2409354751	0.1055452993
